"TAEE11"
"ITSA4"
"BBSE3"
"BRDT3"
"SANB11"
"EGIE3"
"ITUB4"
"VIVT4"
"BRAP4"
"BPAC11"
"HGTX3"
"YDUQ3"
"CMIG4"
"BRKM5"
"BBAS3"
"QUAL3"
"CCRO3"
"FLRY3"
"ENBR3"
"CYRE3"
"MRVE3"
"BBDC4"
"BBDC3"
"B3SA3"
"ELET6"
"VALE3"
"KLBN11"
"CIEL3"
"ENGI11"
"SBSP3"
"CSAN3"
"IRBR3"
"SULA11"
"ECOR3"
"HYPE3"
"ABEV3"
"UGPA3"
"COGN3"
"TIMP3"
"WEGE3"
"BRML3"
"CVCB3"
"CSNA3"
"MULT3"
"IGTA3"
"EQTL3"
"RENT3"
"LREN3"
"CRFB3"
"TOTS3"
"GGBR4"
"PETR4"
"NTCO3"
"MGLU3"
"GOAU4"
"JBSS3"
"CPFE3"
"RADL3"
"HAPV3"
"ELET3"
"EMBR3"
"BRFS3"
"USIM5"
"LAME4"
"GNDI3"
"BEEF3"
"PETR3"
"SUZB3"
"VVAR3"
"AZUL4"
"BTOW3"
"GOLL4"
"MRFG3"
"RAIL3"
